srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|origin timestamp|client mode|transmit timestamp|client version,,
null|null|0x0800|192.168.1.249|91.218.89.74|17|36779|123|0|1b|dba219a8161b2a27|1b,,
null|null|0x0800|192.168.1.249|202.127.210.37|17|54935|123|0|1b|dba2c26990384ba0|1b,,
null|null|0x0800|202.147.104.60|192.168.1.249|17|123|49218|0|1b|db9b4450153a0c6b|1b,,
null|null|0x0800|192.168.1.249|203.122.222.45|17|34523|123|0|1b|db9a472e538aa001|1b,,
null|null|0x0800|192.189.54.33|192.168.1.249|17|123|49864|0|1b|db9cd38baf3e468c|1b,,
null|null|0x0800|192.168.1.249|198.60.22.240|17|45626|123|0|1b|db999e67f599aa60|1b,,
null|null|0x0800|129.6.15.28|192.168.1.249|17|123|48059|0|1b|db9f222efdb25f63|1b,,
null|null|0x0800|110.21.101.199|192.168.1.249|17|123|44856|0|1b|db9ecdce9cd64d7f|1b,,
null|null|0x0800|110.21.101.199|192.168.1.249|17|123|55892|0|1b|dba01f56132f5558|1b,,
null|null|0x0800|130.102.128.23|192.168.1.249|17|123|55788|0|1b|db9dd0ad6282517e|1b,,
null|null|0x0800|121.0.0.41|192.168.1.249|17|123|45061|0|1b|db9e250dc6903643|1b,,
null|null|0x0800|192.168.1.249|27.114.150.12|17|56892|123|0|1b|db994a0714e1e710|1b,,
null|null|0x0800|192.168.1.249|203.100.61.10|17|50223|123|0|1b|dba26e0923939a7c|1b,,
null|null|0x0800|62.201.225.9|192.168.1.249|17|123|47507|0|1b|db9c7f2afc332f01|1b,,
null|null|0x0800|192.168.1.249|146.0.32.144|17|40789|123|0|1b|db9d7c4c8fa1c25d|1b,,
null|null|0x0800|192.168.1.249|41.73.42.10|17|43722|123|0|1b|db9b98b08abf0132|1b,,
null|null|0x0800|85.93.216.115|192.168.1.249|17|123|34381|0|1b|db9f768fb45d52c1|1b,,
null|null|0x0800|192.168.1.249|27.124.125.252|17|37586|123|0|1b|db9c4171ce84be40|1b,,
null|null|0x0800|54.252.129.186|192.168.1.249|17|123|32849|0|1b|dba1c542b2c32229|1b,,
null|null|0x0800|192.168.1.249|103.38.120.36|17|52333|123|0|1b|db9d27ec1de6cd29|1b,,
null|null|0x0800|192.168.1.249|121.0.0.41|17|39750|123|0|1b|db9aefefacbb7f9d|1b,,
null|null|0x0800|192.168.1.249|211.233.84.186|17|50093|123|0|1b|dba0c81c04df15a4|1b,,
null|null|0x0800|192.168.1.249|202.127.210.37|17|40279|123|0|1b|db98f5a115f59ccf|1b,,
null|null|0x0800|192.168.1.249|129.250.35.251|17|41219|123|0|1b|dba11c81bd25edd0|1b,,
null|null|0x0800|192.168.1.249|5.9.80.113|17|46897|123|0|1b|dba316c9f7dd334c|1b,,
null|null|0x0800|192.168.1.249|78.46.37.9|17|35028|123|0|1b|db9fcaf55ef4e011|1b,,
null|null|0x0800|192.168.1.249|213.175.93.20|17|57180|123|0|1b|db9a9b8eb9c45458|1b,,
null|null|0x0800|121.0.0.42|192.168.1.249|17|123|42284|0|1b|db9e796e2826bb55|1b,,
