srcMac,,, dstMac,,, ethType,,, srcIp,,, dstIp,,, ipProto,,, srcPort,,, dstPort,,,origin timestamp,,,client mode,,,transmit timestamp,,,client version,,
null,,,null,,,0x0800,,,192.168.1.152,,,59.125.122.217,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbd5ba4300000000,,,db,,
null,,,null,,,0x0800,,,203.19.252.4,,,192.168.1.152,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbd8796600000000,,,db,,
null,,,null,,,0x0800,,,45.79.111.114,,,192.168.1.152,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbe71a8900000000,,,db,,
null,,,null,,,0x0800,,,192.168.1.152,,,129.250.35.250,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbcf7c1900000000,,,db,,
null,,,null,,,0x0800,,,209.123.234.43,,,192.168.1.152,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbdbe6eb00000000,,,db,,
null,,,null,,,0x0800,,,216.75.56.132,,,192.168.1.152,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbec599600000000,,,db,,
null,,,null,,,0x0800,,,192.168.1.152,,,176.9.82.67,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbd5c85800000000,,,db,,
null,,,null,,,0x0800,,,45.127.112.2,,,192.168.1.152,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbe309e400000000,,,db,,
null,,,null,,,0x0800,,,78.46.204.247,,,192.168.1.152,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbdb05ea00000000,,,db,,
null,,,null,,,0x0800,,,192.155.81.203,,,192.168.1.152,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbdcabcc00000000,,,db,,
null,,,null,,,0x0800,,,192.168.1.152,,,150.101.176.226,,,17,,,123,,,123,,,0000000000000000,,,db,,,83aa7e8300000000,,,db,,
null,,,null,,,0x0800,,,50.18.44.198,,,192.168.1.152,,,17,,,123,,,123,,,0000000000000000,,,db,,,dc62228f00000000,,,db,,
null,,,null,,,0x0800,,,67.18.187.111,,,192.168.1.152,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbe4e80700000000,,,db,,
null,,,null,,,0x0800,,,192.168.1.152,,,202.22.158.30,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbeac1c400000000,,,db,,
null,,,null,,,0x0800,,,192.168.1.152,,,213.239.154.12,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbe1b86300000000,,,db,,
null,,,null,,,0x0800,,,192.168.1.152,,,198.60.22.240,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbe1feb300000000,,,db,,
null,,,null,,,0x0800,,,192.168.1.152,,,64.113.44.54,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbd2deff00000000,,,db,,
null,,,null,,,0x0800,,,203.100.61.10,,,192.168.1.152,,,17,,,123,,,123,,,0000000000000000,,,db,,,dbcf51e900000000,,,db,,
