srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|origin timestamp|transmit timestamp|reference id|server version|server mode,,
null|null|0x0800|207.171.178.6|192.168.1.240|17|123|51844|6a4fe187d3908704|dba43717abf22764|4815c751|24|24,,
null|null|0x0800|192.168.1.240|208.75.89.4|17|50142|123|48bfe1a62aff894e|db9c1496911a67ff|c63c16f0|24|24,,
null|null|0x0800|72.21.192.213|192.168.1.240|17|123|54961|5a3f3b7ecf4ab249|db9c5f7918c5e776|4815c752|24|24,,
null|null|0x0800|72.21.192.213|192.168.1.240|17|123|41649|f7e7eb92abc74d1c|db9e5d10c8fc3cad|4815c751|24|24,,
null|null|0x0800|192.168.1.240|206.108.0.132|17|54176|123|12e97575651cefd4|dba3446c31ffddea|c0a864fc|24|24,,
null|null|0x0800|192.168.1.240|72.21.192.213|17|39225|123|94c108f78fa8e261|dba2cdd7835b0a6f|4815c751|24|24,,
null|null|0x0800|207.171.178.6|192.168.1.240|17|123|49523|22e94cec582af7bd|db9da696cb964468|4815c752|24|24,,
null|null|0x0800|192.168.1.240|207.171.178.6|17|44561|123|2bf6792654acc9c7|dba0af4eba8b07a1|4815c752|24|24,,
null|null|0x0800|192.168.1.240|129.6.15.30|17|58856|123|d13e0cedde088891|db9f43c5c5f725bb|41435453|24|24,,
null|null|0x0800|206.108.0.132|192.168.1.240|17|123|34864|82570697f003dedb|db9f6afbf2b8179a|c0a864fc|24|24,,
null|null|0x0800|72.21.192.213|192.168.1.240|17|123|54953|dbd44d968c0774db|dba08382fa3b308c|4815c751|24|24,,
null|null|0x0800|192.168.1.240|72.21.192.213|17|40479|123|2cc7c60bbf77aae5|db9efbdd945d9f61|4815c751|24|24,,
null|null|0x0800|192.168.1.240|207.171.178.6|17|54896|123|f9b40367ea66bdb0|db9e26ff05c0e9f2|4815c752|24|24,,
null|null|0x0800|192.168.1.240|207.171.178.6|17|34360|123|9c82fcaaf50e3f24|db9e7ac0b7110912|4815c751|24|24,,
null|null|0x0800|72.21.192.213|192.168.1.240|17|123|53617|f1d849bcce6a75ef|dba3a7a04cf9089b|4815c751|24|24,,
null|null|0x0800|192.168.1.240|206.108.0.132|17|34129|123|ec3dfc085a548315|db9c5b1e5edf961a|c0a864fc|24|24,,
null|null|0x0800|192.168.1.240|129.6.15.30|17|35820|123|4af48d70e4358dc5|db9bd4a8f5d4163d|41435453|24|24,,
null|null|0x0800|192.168.1.240|207.171.178.6|17|57619|123|a9e4d0bb89d8c795|db9e0aff12d8c1af|4815c752|24|24,,
null|null|0x0800|72.21.192.213|192.168.1.240|17|123|42955|38693020208ba662|db9c2aa36f716e81|4815c752|24|24,,
null|null|0x0800|192.168.1.240|132.163.4.101|17|46897|123|1c3ab4742ee3365b|dba36da7cf675ffe|41435453|24|24,,
null|null|0x0800|198.38.16.1|192.168.1.240|17|123|55775|ee9bfb9accd83b2c|dba20273a89cf78d|c652f733|24|24,,
null|null|0x0800|96.244.96.19|192.168.1.240|17|123|60530|bd9bb3b8e4545365|db9fd0656bc6c39d|c0a80afe|24|24,,
null|null|0x0800|192.168.1.240|204.11.201.12|17|46260|123|19b36789b0e24653|dba10e0a2e52bdc3|836b0d64|24|24,,
null|null|0x0800|72.21.192.213|192.168.1.240|17|123|57198|dd6cb31a31628f7b|dba1c1df4ba916d7|4815c752|24|24,,
null|null|0x0800|208.75.89.4|192.168.1.240|17|123|46605|4e1deb6c606f53d6|db9a80a24a3457ff|42dc097a|24|24,,
null|null|0x0800|192.168.1.240|208.75.88.4|17|38652|123|8e7cc07cd21cc8b7|db99b4dc286e27ff|2b4d82fe|24|24,,
null|null|0x0800|206.108.0.132|192.168.1.240|17|123|45573|e4bcf1a108dd4aef|dba231feb1ef7fee|c0a864fc|24|24,,
null|null|0x0800|72.21.192.213|192.168.1.240|17|123|57181|afa2c28fddd2915d|db9a93c7a817a65f|4815c752|24|24,,
null|null|0x0800|192.168.1.240|72.21.192.213|17|37921|123|192b43a0c76edbc4|db9deca0c367c215|4815c752|24|24,,
null|null|0x0800|206.108.0.132|192.168.1.240|17|123|46878|cfc6adbcaf5145ec|db9fb9226c14458f|c0a864fc|24|24,,
null|null|0x0800|192.168.1.240|71.252.219.43|17|46159|123|98df60a9459a6b1c|db993cd3fef562b0|84a30466|24|24,,
null|null|0x0800|192.168.1.240|131.107.13.100|17|39443|123|e763939663f7babd|dba00a3baf49ac30|41435453|24|24,,
null|null|0x0800|71.252.219.43|192.168.1.240|17|123|54138|60f26ec2580998af|dba26faeecaa0ee9|84a30466|24|24,,
null|null|0x0800|192.168.1.240|132.163.4.101|17|33800|123|dddba4a4a0532e44|db9953fc87d8ee20|41435453|24|24,,
null|null|0x0800|131.107.13.100|192.168.1.240|17|123|33394|748d935de3fce9cd|dba34aed8cd47469|41435453|24|24,,
null|null|0x0800|131.107.13.100|192.168.1.240|17|123|53892|98f0a77770712ab0|dba2933dcbc03a57|41435453|24|24,,
null|null|0x0800|97.107.128.58|192.168.1.240|17|123|40466|becf65aa9020ef20|db9b69c31c6e99c6|d133a1ee|24|24,,
null|null|0x0800|192.168.1.240|72.21.192.213|17|55090|123|9d2082fc2e30c3a1|dba3c6320855ead4|4815c752|24|24,,
null|null|0x0800|208.75.89.4|192.168.1.240|17|123|46646|2591449642eba556|dba3c6edfcb2a7ff|c63c16f0|24|24,,
null|null|0x0800|192.168.1.240|208.75.89.4|17|39302|123|ff83315348ddf333|dba35dc92aa6afff|d8dac0ca|24|24,,
null|null|0x0800|192.168.1.240|198.38.16.1|17|42961|123|8fd446a9d4c8208e|dba29571110019fd|c6261002|24|24,,
null|null|0x0800|192.168.1.240|97.107.128.58|17|49877|123|490c04c5c4ba2400|dba374db684444e4|d133a1ee|24|24,,
null|null|0x0800|138.236.128.36|192.168.1.240|17|123|58352|bfa118f9744f1efa|db99b6a2c44fc5e7|121a0469|24|24,,
null|null|0x0800|198.38.16.1|192.168.1.240|17|123|49910|6f38d07538d25f73|db9bf56c1d3c4b26|c652f733|24|24,,
null|null|0x0800|192.168.1.240|45.79.10.228|17|39789|123|d743b24f4c1aa1eb|db9f307d10d95f15|84a30465|24|24,,
null|null|0x0800|192.168.1.240|207.171.178.6|17|44435|123|54a81d6c25fde3f4|db9ab15f35bd0a64|4815c752|24|24,,
